Date,Bill Due Date,Vendor,Reference Number,Memo,Total Bill Amount,# of Itemized allocations,Itemized Allocation Property Name,Itemized Allocation Unit,Itemized Allocation Amount,Itemized Allocation GL Expense Account,Itemized Allocation Description,Upcharge, Amount to Owner ,Approved
1/21/2026,,Mendowza Construction Inc,4,#4 1106 Main 1R - Frozen pipes repair.,1215,,1106 North Main Avenue,,,Repairs,,0.1,1336.5,Yes
1/20/2026,,Brevin Automobile Parts Co,6312291,#6312291 1325 Main - Sensor x2. ,34.33,,1325 North Main Park Avenue,,,Supplies & Materials,,0,34.33,No
1/12/2026,,Mendoo Drain Special  ,10215,#10215 1414 Main  1R - Service call and diagnose backing up/flooding during heavy rains. ,385,,1414 North Main Street,,,Repairs,,0.2,462,No
1/20/2026,,Wednesday Pest Control,2661336,"#2661336 1458 Main BLDG - Pest control, common area.",79,,1458 West Main Avenue,,,Exterminator,,0,79,No
1/21/2026,,Noodles Hardware,805140,"#805140 1507 Main - 6/40W GU24 27K x3, 3 SCREW RADIATOR HANDLE x1 and ""D"" GORTON VAPOR EQUAL VALVE x4. ",238.6,,1507-09 West Main Avenue,,,Supplies & Materials,,0,238.6,No
1/20/2026,,Wednesday Pest Control,2661379,"#2661379 1539 Main - Pest control, common area.",85,,1539 West Main Street,,,Exterminator,,0,85,No
1/22/2026,,Wednesday Pest Control,2661714,"#2661714 1706 Main BLDG - Pest control, common area monthly.",105,,1706 Main Avenue,,,Exterminator,,0,105,No
1/22/2026,,Mendiowza Mechanical LLC,299910,#299910 1736 Main 1 - Furnace repair.,120,,1736 West Main Avenue,,,Repairs,,0.2,144,No
1/23/2026,,Mendowza Construction Inc,9,#9 1807 Main - Pest exclusion and wall repair. ,235,,1807 North Main Avenue,,,Repairs,,0.2,282,No
1/22/2026,,Brevin Automobile Parts Co,631428-1,#631428-1 1826 Main - PRESSURE SENSOR x1.,22.03,,1824-28 North Main Avenue,,,Supplies & Materials,,0,22.03,No
1/26/2026,,Wednesday Pest Control,2661915,"#2661915 1845 Main BLDG - Pest control, common area quarterly",115,,1845 West Main Boulevard,,,Exterminator,,0,115,No
1/23/2026,,Mendowza Construction Inc,8,#8 1936 Main - Inspection report repairs. ,7200,,1936 N. Main Park,,,Repairs,,0.1,7920,Yes
1/16/2026,,Bartholomew's Appliance Repair,23324A ,#23324A 1953 Main 1R - Oven repair. ,145,,1953 West Main Avenue,,,Repairs,,0.2,174,No
12/30/2025,,Krakower Inc,2214,#2214 2049 Main - Installed two window screens and ceiling drywall removal and repair after leak investigation.,920,,2049 West Main Street,,,Capital Exp - Improvements,,0.2,1104,Yes
1/20/2026,,Family Homes Repair and Maintenance Corp,1320,#1320 2129 Main 1R - Wall repair. ,340,,2129 North Main Avenue,,,Repairs,,0,340,No
1/16/2026,,A Bartholomew Source Inc,357,"#357 2203 Main 1F - Oven burner repairs, cleaned out pilot.",135,,2203 W. Main,,,Repairs,,0.2,162,No
1/20/2026,,Wednesday Pest Control,2661401,"#2661401 2255 Main - Pest control, common area.",80,,2255 South Main Street,,,Exterminator,,0,80,No
1/20/2026,,Wednesday Pest Control,2661344,"#2661344 2513 Main - Pest control, common area.",85,,2513 North Main Street,,,Exterminator,,0,85,No
1/21/2026,,"Best Services, Inc.",3629,"#3629 2639 Main 2F - Parts, labor, materials and installation of furnace. ",5325,,2639 West Main Street,,,Capital Exp - Improvements,,0.1,5857.5,Yes
1/21/2026,,Wednesday Pest Control,2661490,"#2661490 2646 Main - Pest control, common area.",79,,2646 W. Main,,,Exterminator,,0,79,No
1/8/2026,,A Bartholomew Source Inc,353A,#353A 3104 Main BLDG - Washer service call. ,75,,3104 North Main Ave.,,,Repairs,,0.2,90,No
1/22/2026,,Wednesday Pest Control,2661727,"#2661727 3221 Main BLDG - Pest control, common area monthly.",84,,3221 North Main Avenue,,,Exterminator,,0,84,No
1/15/2026,,Mendoo Drain Special  ,10221,"#10221 3221 Main - Conducted a video inspection of the main sewer line, diagnosed source of recurring backups, and provided estimate on permenant repairs. ",325,,3221 North Main Avenue,,,Repairs,,0.2,390,No
