id,journalCodeId,entryDate,journalMemo,checkNumber,postingMemo,amount,isCashPosting,referenceNumber,payeeName,payeeNameRaw,payeeNames,userTypeId,leaseId,unitNumber,unitId,buildingName,journalCodeDescription
62711829,1,11/4/2025,"#316 2129 Main 3M - Washer service call, recommended replacement.",,"#316 2129 Main 3M - Washer service call, recommended replacement.",75,0,316,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2129 North Main Avenue,Bill
62711830,1,11/4/2025,"#319 2404 Main 3 - Replaced refrigerator defrost limit, defrost heater, and door seal.",,"#319 2404 Main 3 - Replaced refrigerator defrost limit, defrost heater, and door seal.",335,0,319,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,4500 W Main Ave,Bill
62711853,1,11/4/2025,#317 1300 Main BLDG - Dryer service call.,,#317 1300 Main BLDG - Dryer service call.,75,0,317,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1300 North Main Avenue,Bill
62711855,1,11/4/2025,#318 1404 Main 1 - Reset dryer motor and centrifugal switch to restore function.,,#318 1404 Main 1 - Reset dryer motor and centrifugal switch to restore function.,125,0,318,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1404 N. Main,Bill
62711865,1,11/4/2025,#320 3743 Main CH1 - Replaced oven ignitor.,,#320 3743 Main CH1 - Replaced oven ignitor.,175,0,320,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3743 W. Main,Bill
62712859,8,11/4/2025,"316 - #316 2129 Main 3M - Washer service call, recommended replacement.",,"#316 2129 Main 3M - Washer service call, recommended replacement.",-75,0,316,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2129 North Main Avenue,Bill
62712863,8,11/4/2025,318 - #318 1404 Main 1 - Reset dryer motor and centrifugal switch to restore function.,,#318 1404 Main 1 - Reset dryer motor and centrifugal switch to restore function.,-125,0,318,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1404 N. Main,Bill
62712866,8,11/4/2025,Multiple bills,,#317 1300 Main BLDG - Dryer service call.,-75,0,317,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1300 North Main Avenue,Bill
62712866,8,11/4/2025,Multiple bills,,#320 3743 Main CH1 - Replaced oven ignitor.,-175,0,320,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3743 W. Main,Bill
62712868,8,11/4/2025,"319 - #319 2404 Main 3 - Replaced refrigerator defrost limit, defrost heater, and door seal.",,"#319 2404 Main 3 - Replaced refrigerator defrost limit, defrost heater, and door seal.",-335,0,319,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,4500 W Main Ave,Bill
62760017,1,11/11/2025,#321 2956 Main 1R - Dryer bearings and upper slides replacement.,,#321 2956 Main 1R - Dryer bearings and upper slides replacement.,415,0,321,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2956 North Main Avenue,EFT
62760018,1,11/11/2025,#323 3338 Main 2R - Lower dishwasher wash arm replaced and cleaned out the tailpipe.,,#323 3338 Main 2R - Lower dishwasher wash arm replaced and cleaned out the tailpipe.,175,0,323,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3336 West Main Avenue,EFT
62760038,1,11/11/2025,"#322 4821 Main BLDG - Dryer belt, roller, and coils replacement.",,"#322 4821 Main BLDG - Dryer belt, roller, and coils replacement.",215,0,322,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,4819 W. Main Avenue,Bill
62763483,8,11/12/2025,"322 - #322 4821 Main BLDG - Dryer belt, roller, and coils replacement.",,"#322 4821 Main BLDG - Dryer belt, roller, and coils replacement.",-215,0,322,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,4819 W. Main Avenue,Bill
62763490,8,11/12/2025,321 - #321 2956 Main 1R - Dryer bearings and upper slides replacement.,,#321 2956 Main 1R - Dryer bearings and upper slides replacement.,-415,0,321,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2956 North Main Avenue,EFT
62763495,8,11/12/2025,323 - #323 3338 Main 2R - Lower dishwasher wash arm replaced and cleaned out the tailpipe.,,#323 3338 Main 2R - Lower dishwasher wash arm replaced and cleaned out the tailpipe.,-175,0,323,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3336 West Main Avenue,EFT
62793212,1,11/18/2025,#324 3717 Main 2R - Washer control board replacement.,,#324 3717 Main 2R - Washer control board replacement.,360,0,324,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2455 N. Main Ave,Bill
62793214,1,11/18/2025,#325 2854 Main - Dryer coil kit replacement.,,#325 2854 Main - Dryer coil kit replacement.,150,0,325,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2854 West Main Street,Bill
62793459,8,11/18/2025,324 - #324 3717 Main 2R - Washer control board replacement.,,#324 3717 Main 2R - Washer control board replacement.,-360,0,324,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2455 N. Main Ave,Bill
62793472,8,11/18/2025,325 - #325 2854 Main - Dryer coil kit replacement.,,#325 2854 Main - Dryer coil kit replacement.,-150,0,325,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2854 West Main Street,Bill
62831215,1,11/24/2025,#326 4437 Main 1 - Dishwasher door latch repair.,,#326 4437 Main 1 - Dishwasher door latch repair.,125,0,326,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,4435 North Main Street,Check 4155
62831368,8,11/25/2025,326 - #326 4437 Main 1 - Dishwasher door latch repair.,,#326 4437 Main 1 - Dishwasher door latch repair.,-125,0,326,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,4435 North Main Street,Bill
62956873,1,12/1/2025,#329 3746 Main 2 - Replaced washer water valve.,,#329 3746 Main 2 - Replaced washer water valve.,195,0,329,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3746 West Main Avenue,EFT
62956888,1,12/1/2025,#327 2940 Main - Washer repair.,,#327 2940 Main - Washer repair.,185,0,327,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2940 West Main Boulevard,EFT
62956890,1,12/1/2025,#328 1414 Main 4R - Washer repair.,,#328 1414 Main 4R - Washer repair.,575,0,328,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1414 North Main Street,EFT
62956892,1,12/1/2025,#330 3826 Main 1 - Replaced washer shock kit and recalibrated control board. Tested dryer and educated tenants to regularly clean out vent.,,#330 3826 Main 1 - Replaced washer shock kit and recalibrated control board. Tested dryer and educated tenants to regularly clean out vent.,295,0,330,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3826 North Main Avenue,EFT
62956894,1,12/1/2025,#331 659 Main 3N - Refrigerator service call.,,#331 659 Main 3N - Refrigerator service call.,75,0,331,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,655 West Main Avenue,EFT
62956896,1,12/1/2025,#332 5036 Main G - Refrigerator service. Recommended replacement.,,#332 5036 Main G - Refrigerator service. Recommended replacement.,75,0,332,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,5036 North Main Street,EFT
62956898,1,12/1/2025,"#333 1646 Main 2 - Dishwasher service, educated tenant on proper appliance care and reported air gap issue to management.",,"#333 1646 Main 2 - Dishwasher service, educated tenant on proper appliance care and reported air gap issue to management.",75,0,333,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1646 West Main Street,EFT
62959860,8,12/3/2025,Multiple bills,,"#333 1646 Main 2 - Dishwasher service, educated tenant on proper appliance care and reported air gap issue to management.",-75,0,333,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1646 West Main Street,EFT
62959860,8,12/3/2025,Multiple bills,,#327 2940 Main - Washer repair.,-185,0,327,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2940 West Main Boulevard,EFT
62959860,8,12/3/2025,Multiple bills,,#330 3826 Main 1 - Replaced washer shock kit and recalibrated control board. Tested dryer and educated tenants to regularly clean out vent.,-295,0,330,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3826 North Main Avenue,EFT
62959868,8,12/3/2025,328 - #328 1414 Main 4R - Washer repair.,,#328 1414 Main 4R - Washer repair.,-575,0,328,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1414 North Main Street,EFT
62959878,8,12/3/2025,329 - #329 3746 Main 2 - Replaced washer water valve.,,#329 3746 Main 2 - Replaced washer water valve.,-195,0,329,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3746 West Main Avenue,EFT
62959882,8,12/3/2025,331 - #331 659 Main 3N - Refrigerator service call.,,#331 659 Main 3N - Refrigerator service call.,-75,0,331,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,655 West Main Avenue,EFT
